epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2232.81,1.36767,1.43197,1.43426,0.58709,0.56907,0.57475,0.34791,1.51131,1.46917,1.33765,0.000547306,0.000547306,0.000547306
43,2286.89,1.36797,1.41599,1.43283,0.5444,0.59348,0.5758,0.31738,1.60727,1.52714,1.41952,0.000533558,0.000533558,0.000533558
44,2340.73,1.34989,1.36253,1.43002,0.65622,0.59509,0.59403,0.34391,1.54204,1.58095,1.38245,0.000519809,0.000519809,0.000519809
45,2392.91,1.35497,1.37834,1.42274,0.62044,0.52979,0.57091,0.34419,1.51124,1.50225,1.3696,0.00050606,0.00050606,0.00050606
46,2446.84,1.3405,1.35716,1.43234,0.59738,0.5581,0.55471,0.33255,1.55935,1.60604,1.39043,0.000492312,0.000492312,0.000492312
47,2500.61,1.33872,1.34921,1.43406,0.58076,0.5855,0.57739,0.32894,1.53607,1.55267,1.37547,0.000478563,0.000478563,0.000478563
48,2552.66,1.33095,1.35042,1.41069,0.61888,0.55924,0.58242,0.33596,1.6218,1.54886,1.42892,0.000464815,0.000464815,0.000464815
49,2606.52,1.31228,1.32836,1.40678,0.58572,0.57341,0.57974,0.34216,1.4896,1.53549,1.3862,0.000451066,0.000451066,0.000451066
50,2659.2,1.342,1.32453,1.41873,0.67469,0.55927,0.5961,0.35837,1.5363,1.57144,1.36869,0.000437317,0.000437317,0.000437317
51,2711.69,1.3143,1.31396,1.41138,0.63198,0.58401,0.59582,0.32379,1.59331,1.54186,1.42996,0.000423569,0.000423569,0.000423569
52,2764.98,1.30911,1.29978,1.39462,0.64093,0.58698,0.61639,0.36093,1.51972,1.48439,1.3687,0.00040982,0.00040982,0.00040982
53,2816.61,1.29092,1.28529,1.38339,0.62218,0.59575,0.62613,0.36305,1.49858,1.43307,1.35787,0.000396071,0.000396071,0.000396071
54,2870.19,1.28288,1.26452,1.38596,0.63103,0.61532,0.61359,0.35961,1.46719,1.43117,1.3345,0.000382323,0.000382323,0.000382323
55,2923.06,1.25849,1.25528,1.36643,0.63372,0.60393,0.61595,0.36457,1.46219,1.42996,1.32401,0.000368574,0.000368574,0.000368574
56,2975.08,1.26196,1.25884,1.37748,0.6364,0.65135,0.62257,0.36216,1.51917,1.35965,1.36564,0.000354826,0.000354826,0.000354826
57,3027.99,1.24544,1.22166,1.36271,0.66046,0.62378,0.62798,0.35818,1.47601,1.40915,1.33562,0.000341077,0.000341077,0.000341077
58,3079.27,1.26257,1.23501,1.37279,0.59437,0.60798,0.61765,0.36419,1.49965,1.34964,1.34721,0.000327328,0.000327328,0.000327328
59,3132.2,1.23142,1.20491,1.34997,0.62727,0.66105,0.6304,0.35605,1.49976,1.36991,1.32411,0.00031358,0.00031358,0.00031358
60,3184.23,1.22098,1.18147,1.34068,0.68518,0.60096,0.63853,0.37927,1.42655,1.3437,1.29492,0.000299831,0.000299831,0.000299831
61,3235.98,1.22266,1.18885,1.34522,0.66551,0.63375,0.63423,0.37837,1.37564,1.33465,1.2868,0.000286083,0.000286083,0.000286083
62,3288.77,1.21663,1.16956,1.34773,0.68875,0.64459,0.64307,0.37702,1.4769,1.39485,1.34079,0.000272334,0.000272334,0.000272334
63,3340.14,1.21745,1.1928,1.34339,0.66812,0.60966,0.62426,0.38545,1.44534,1.34161,1.32567,0.000258585,0.000258585,0.000258585
64,3393.02,1.20137,1.15837,1.33561,0.66568,0.58042,0.6097,0.37145,1.43121,1.41377,1.30769,0.000244837,0.000244837,0.000244837
65,3444.27,1.21292,1.11724,1.33605,0.60913,0.64617,0.63715,0.37224,1.44246,1.34146,1.31044,0.000231088,0.000231088,0.000231088
66,3497.5,1.19951,1.12338,1.32067,0.69948,0.57004,0.63654,0.38249,1.4097,1.3237,1.30637,0.000217339,0.000217339,0.000217339
67,3550.17,1.18161,1.12074,1.31149,0.73446,0.63623,0.68281,0.40211,1.41778,1.31415,1.31796,0.000203591,0.000203591,0.000203591
